data_collector|person_id|height|head.height|head.circumference|arm.span|floor.navel|units|writing|eye|eye.color|swinging|age|gender|quality|minutes|ethnicity|notes|my.units|hand.length|hand.width|hand.elbow|elbow.armpit|arm.reach|foot.length|floor.kneepit|floor.hip|floor.armpit|my.ethnicity|my.gender|new.units|my.eye|my.writing|my.swinging|my.eye.color
9c2633aaa2d945bb10608ad13c3a11a9|1cef05bce7879e0ffee01b0cb8d78c32|152.1|23|NA|148.2|NA|cm|right|both|blue|right|21|F|10|15|white|NA|cm|16.95|18.15|34.9|22.5|188.2|21.65|37.5|87.75|123.5|w|f|cm|b|r|r|bl
9c2633aaa2d945bb10608ad13c3a11a9|7ccb01feee114272ab008022a14ededb|174|22.1|NA|167|NA|cm|right|both|brown|right|22|M|7|22|Hispanic|NA|cm|18.55|19.7|45.55|26|223|23|50.25|102.25|140.75|h|m|cm|b|r|r|br
9c2633aaa2d945bb10608ad13c3a11a9|045e02304948042a658b4faa4bd8e54e|168|18|NA|157|NA|cm|left|both|brown|left|23|M|9|15|black|NA|cm|15|14|52|33|183|20|41|102|139|b|m|cm|b|l|l|br
9c2633aaa2d945bb10608ad13c3a11a9|51e383ff163861b0e2fc71e939a5b118|164|23|NA|155|NA|cm|right|both|blue|right|23|F|8|15|white|NA|cm|17|19|39|29|202|23|39|88|127|w|f|cm|b|r|r|bl
9c2633aaa2d945bb10608ad13c3a11a9|6d672001f80f375570c44439c540bebf|181|26|NA|183|NA|cm|left|left|blue|left|23|F|9|11|white|NA|cm|20|24|43|28|231|25|42|99|144|w|f|cm|l|l|l|bl
9c2633aaa2d945bb10608ad13c3a11a9|98569fbc2cb9141f60d0ae5cfa7501cb|156.2|22.5|NA|167.5|NA|cm|right|both|hazel|right|63|M|9|17|white|NA|cm|18.35|20.3|37.65|31.5|206|25.4|42.25|96|131.3|w|m|cm|b|r|r|ha
9c2633aaa2d945bb10608ad13c3a11a9|8d98590f4401d70a1d0a04293499b87c|154.3|22.5|NA|150.1|NA|cm|right|both|blue|right|59|F|10|13|white|NA|cm|17.05|18.8|36.45|25|150.1|21.95|38.5|89.5|122|w|f|cm|b|r|r|bl
9c2633aaa2d945bb10608ad13c3a11a9|a9b12538812f18facbfcbd5f2c12663b|154.3|23|NA|151|NA|cm|right|both|brown|right|23|M|8|19|white|NA|cm|17|18.5|36|24.5|192|22|38.5|88|123|w|m|cm|b|r|r|br
9c2633aaa2d945bb10608ad13c3a11a9|7a87fa2f3e4e4ca864a254fef98ecdc0|172.7|20|NA|154|NA|cm|right|right|brown|right|20|F|9|14|white|NA|cm|18|14|38.5|20|38|26|45|96|135|w|f|cm|r|r|r|br
9c2633aaa2d945bb10608ad13c3a11a9|8e231231fb1ab2d42c266670295eee16|164|23|NA|154.3|NA|cm|right|both|blue|right|26|F|7|15|white|NA|cm|17|19|38.7|27.7|201.1|23.3|38.5|88|127|w|f|cm|b|r|r|bl
