data_collector|person_id|height|head.height|arm.span|hand.length|foot.length|floor.hip|age|my.ethnicity|my.gender|new.units|p.height|p.head.h|p.arm.span|p.hand.length|p.foot.length|p.floor.hip
9c2633aaa2d945bb10608ad13c3a11a9|1cef05bce7879e0ffee01b0cb8d78c32|152.1|23|148.2|16.95|21.65|87.75|21|w|f|cm|1|0.151216305062459|0.974358974358974|0.111439842209073|0.142340565417488|0.576923076923077
9c2633aaa2d945bb10608ad13c3a11a9|51e383ff163861b0e2fc71e939a5b118|164|23|155|17|23|88|23|w|f|cm|1|0.140243902439024|0.945121951219512|0.103658536585366|0.140243902439024|0.536585365853659
9c2633aaa2d945bb10608ad13c3a11a9|6d672001f80f375570c44439c540bebf|181|26|183|20|25|99|23|w|f|cm|1|0.143646408839779|1.01104972375691|0.110497237569061|0.138121546961326|0.546961325966851
9c2633aaa2d945bb10608ad13c3a11a9|98569fbc2cb9141f60d0ae5cfa7501cb|156.2|22.5|167.5|18.35|25.4|96|63|w|m|cm|1|0.14404609475032|1.07234314980794|0.117477592829706|0.162612035851472|0.614596670934699
9c2633aaa2d945bb10608ad13c3a11a9|8d98590f4401d70a1d0a04293499b87c|154.3|22.5|150.1|17.05|21.95|89.5|59|w|f|cm|1|0.145819831497084|0.972780298120544|0.11049902786779|0.142255346727155|0.580038885288399
9c2633aaa2d945bb10608ad13c3a11a9|a9b12538812f18facbfcbd5f2c12663b|154.3|23|151|17|22|88|23|w|m|cm|1|0.149060272197019|0.978613091380428|0.110174983797796|0.142579390797148|0.570317563188594
9c2633aaa2d945bb10608ad13c3a11a9|7a87fa2f3e4e4ca864a254fef98ecdc0|172.7|20|154|18|26|96|20|w|f|cm|1|0.115807759119861|0.89171974522293|0.104226983207875|0.150550086855819|0.555877243775333
9c2633aaa2d945bb10608ad13c3a11a9|8e231231fb1ab2d42c266670295eee16|164|23|154.3|17|23.3|88|26|w|f|cm|1|0.140243902439024|0.940853658536585|0.103658536585366|0.142073170731707|0.536585365853659
6734f5f4f223d589dc4ff361a310c155|13e647076a48ced264cd8452175c2e15|145|18.8|141.7|17|21.8|88.9|87|w|f|cm|1|0.129655172413793|0.977241379310345|0.117241379310345|0.150344827586207|0.613103448275862
6734f5f4f223d589dc4ff361a310c155|1088af35708a5b36f1d4e2bb37acdcb7|181|24.3|176|17.9|24.9|105|30|w|m|cm|1|0.134254143646409|0.972375690607735|0.0988950276243094|0.137569060773481|0.580110497237569
6734f5f4f223d589dc4ff361a310c155|e28999163456cff48b783a89fad8c6d9|152.6|18.3|159.6|17.2|22.75|90.15|60|w|f|cm|1|0.119921363040629|1.04587155963303|0.112712975098296|0.149082568807339|0.590760157273919
6734f5f4f223d589dc4ff361a310c155|09933344d53a61bf9ad3fbe844e173c8|169.5|21|165|18.35|23.65|103.35|20|a|f|cm|1|0.123893805309735|0.973451327433628|0.108259587020649|0.13952802359882|0.609734513274336
6734f5f4f223d589dc4ff361a310c155|8643d013d64405966b262a0280c0b197|164.9|19.1|151.9|17.2|22.3|99.5|47|w|f|cm|1|0.115827774408733|0.92116434202547|0.104305639781686|0.135233474833232|0.603395997574287
6734f5f4f223d589dc4ff361a310c155|5b31d7eefd327c5296826021dd9a4c56|177.8|20.5|182.8|18.6|26.2|102.45|26|w|m|cm|1|0.115298087739033|1.0281214848144|0.104611923509561|0.147356580427447|0.576209223847019
6734f5f4f223d589dc4ff361a310c155|bc679a3aec3b015b11b5c33673d58a31|168.3|22.2|165.7|17.2|23.65|95.25|27|w|f|cm|1|0.131907308377897|0.984551396316102|0.102198455139632|0.140522875816993|0.565953654188948
6734f5f4f223d589dc4ff361a310c155|5ae2cd142c4d754f9cf52879c9df4fc0|170.1|22.5|168.6|17.15|21.75|101.4|26|w|m|cm|1|0.132275132275132|0.991181657848324|0.10082304526749|0.127865961199295|0.596119929453263
6734f5f4f223d589dc4ff361a310c155|112c745f06b882dc111506a76e90a206|151.6|19.9|156|16.3|22.15|95.6|61|w|f|cm|1|0.131266490765171|1.02902374670185|0.107519788918206|0.146108179419525|0.630606860158311
fd36e2b3ec59dbd996587454cbb59725|789951a2bbfbf299b0822cc8452f236f|177.165|23.495|184.15|19.20875|28.575|104.4575|38|w|m|cm|1|0.132616487455197|1.03942652329749|0.1084229390681|0.161290322580645|0.589605734767025
fd36e2b3ec59dbd996587454cbb59725|9f719255d46dd8b9b07935d891dc5295|181.61|23.495|182.245|19.84375|26.67|108.42625|36|w|m|cm|1|0.129370629370629|1.0034965034965|0.109265734265734|0.146853146853147|0.597027972027972
fd36e2b3ec59dbd996587454cbb59725|06101d4bde60d0ea415206d4ba04572c|161.29|22.86|160.655|17.4625|22.225|97.155|36|w|f|cm|1|0.141732283464567|0.996062992125984|0.108267716535433|0.137795275590551|0.602362204724409
fd36e2b3ec59dbd996587454cbb59725|ac11025453a44a174b69354845b985d5|166.6875|21.9075|167.3225|18.176875|24.92375|95.5675|35|w|f|cm|1|0.131428571428571|1.00380952380952|0.109047619047619|0.14952380952381|0.573333333333333
fd36e2b3ec59dbd996587454cbb59725|21a0357f2ca81fcfc9e5502e6ba4c5de|157.48|22.225|157.48|16.35125|22.5425|93.345|52|w|f|cm|1|0.141129032258065|1|0.10383064516129|0.143145161290323|0.592741935483871
fd36e2b3ec59dbd996587454cbb59725|08982a644b08fcabe920861dcf638039|179.07|23.1775|183.1975|20.32|26.035|106.83875|59|w|m|cm|1|0.129432624113475|1.02304964539007|0.113475177304965|0.145390070921986|0.596631205673759
fd36e2b3ec59dbd996587454cbb59725|7aa407c589c49ea3aa49224367f9aad8|158.115|22.225|160.655|17.30375|23.8125|95.72625|57|w|f|cm|1|0.140562248995984|1.01606425702811|0.109437751004016|0.150602409638554|0.605421686746988
c51267de031fb6d879a8abf25d260269|1c2408654ef5a2fe1fc962088312266c|178|21|176|19.25|26.5|93.75|47|w|m|cm|1|0.117977528089888|0.98876404494382|0.10814606741573|0.148876404494382|0.526685393258427
c51267de031fb6d879a8abf25d260269|9b2cfcfa9664443aaa0a5cf1333c7244|181.61|20.32|218.44|17.78|25.4|99.03|22|w|m|cm|1|0.111888111888112|1.2027972027972|0.0979020979020979|0.13986013986014|0.545289356312978
c51267de031fb6d879a8abf25d260269|c45839f19cbf1437468598076cb11a1c|175.4|19.6|211|17.05|24|95.65|23|w|m|cm|1|0.111744583808438|1.20296465222349|0.0972063854047891|0.136830102622577|0.545324971493729
c51267de031fb6d879a8abf25d260269|5416d60fcbda9d702ccbcee046a3e7cb|161|18|193|16|22.5|88|20|w|f|cm|1|0.111801242236025|1.19875776397516|0.0993788819875776|0.139751552795031|0.546583850931677
c51267de031fb6d879a8abf25d260269|2420e28d6dd40f144e4484b856092628|165|18.5|198.5|16|23|90|52|w|f|cm|1|0.112121212121212|1.2030303030303|0.096969696969697|0.139393939393939|0.545454545454545
c51267de031fb6d879a8abf25d260269|b4216eec77f3aaf926d1b6a1e1512c8e|186|21|224|18|26|101|61|w|m|cm|1|0.112903225806452|1.20430107526882|0.0967741935483871|0.139784946236559|0.543010752688172
c51267de031fb6d879a8abf25d260269|516c55f4541512c4672db44137aae2c8|184|20.5|221|18|26|100|25|w|m|cm|1|0.111413043478261|1.20108695652174|0.0978260869565217|0.141304347826087|0.543478260869565
c51267de031fb6d879a8abf25d260269|2bb88f446d3a78151df3ae67ad006e10|185.5|21|223|18|26|101|26|w|m|cm|1|0.113207547169811|1.20215633423181|0.0970350404312668|0.140161725067385|0.544474393530997
c51267de031fb6d879a8abf25d260269|5a4bb89464c07cc514e9f08ac6190e71|185|21|224|18|26|101.5|22|w|m|cm|1|0.113513513513514|1.21081081081081|0.0972972972972973|0.140540540540541|0.548648648648649
5a2f371a934f22dffcf1e994cb6eca40|3edc9028bcaab791b8790713cf82d280|183|23|183|19.5|28|106|21|w|m|cm|1|0.12568306010929|1|0.10655737704918|0.153005464480874|0.579234972677596
5a2f371a934f22dffcf1e994cb6eca40|04b2eeaf9dcd75f5fcaeec08f76603f2|166.5|20.5|164|18|23|100.75|20|w|f|cm|1|0.123123123123123|0.984984984984985|0.108108108108108|0.138138138138138|0.605105105105105
5a2f371a934f22dffcf1e994cb6eca40|c775bb281e5479508ec125fa644ff065|157.5|23|160|18|23|82.25|23|a|m|cm|1|0.146031746031746|1.01587301587302|0.114285714285714|0.146031746031746|0.522222222222222
5a2f371a934f22dffcf1e994cb6eca40|c7e8ec1734c9626546d613ca12f9dc57|178|23|171|20|26.75|100.5|54|w|m|cm|1|0.129213483146067|0.960674157303371|0.112359550561798|0.150280898876405|0.564606741573034
5a2f371a934f22dffcf1e994cb6eca40|cff864eff9ec76edf5a6606be92b33b5|168|20|166|19.5|25.25|102|61|w|f|cm|1|0.119047619047619|0.988095238095238|0.116071428571429|0.150297619047619|0.607142857142857
5a2f371a934f22dffcf1e994cb6eca40|19e7e29d12d3eec6776a993acdfca999|170|27|174|17.75|24|94|20|w|f|cm|1|0.158823529411765|1.02352941176471|0.104411764705882|0.141176470588235|0.552941176470588
5a2f371a934f22dffcf1e994cb6eca40|35d830aeb7087089a94bd6f4c2119268|178|24|180.5|18.5|25.75|100.5|22|w|m|cm|1|0.134831460674157|1.01404494382022|0.103932584269663|0.144662921348315|0.564606741573034
5a2f371a934f22dffcf1e994cb6eca40|df2f92f65e0119382722048c0fe1aaa9|183|25|162|21|29|103|23|w|m|cm|1|0.136612021857924|0.885245901639344|0.114754098360656|0.158469945355191|0.562841530054645
5a2f371a934f22dffcf1e994cb6eca40|a7ca986d375e45fe72aa5b043c0d207e|185|24|192|21|28.5|113|57|w|m|cm|1|0.12972972972973|1.03783783783784|0.113513513513514|0.154054054054054|0.610810810810811
253a0d24ddff7cbe1b9f621870d9d198|ac56ebdc4dda8269a4a2b52a1d6c7850|175.26|24.13|179.705|19.4945|25.0825|93.98|35|w|m|cm|1|0.13768115942029|1.02536231884058|0.111231884057971|0.143115942028986|0.536231884057971
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
feaa341d33cedb0f4f7ec731c84e5ba9|be2c146782bc42ee8a28929e2caae9ba|175.26|23.495|180.975|18.875|24.4475|97.155|21|w|m|cm|1|0.134057971014493|1.03260869565217|0.107697135684126|0.139492753623188|0.554347826086957
feaa341d33cedb0f4f7ec731c84e5ba9|852e3c313e43b1ae48f3d6bb0a6469d3|165.1|21.59|162.56|16.51|22.86|101.2825|21|w|f|cm|1|0.130769230769231|0.984615384615385|0.1|0.138461538461538|0.613461538461539
feaa341d33cedb0f4f7ec731c84e5ba9|150f21419f5bb180fd931e2fa8640a70|177.8|24.765|187.96|19.685|27.6225|98.1075|21|w|m|cm|1|0.139285714285714|1.05714285714286|0.110714285714286|0.155357142857143|0.551785714285714
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
4258362c2bb0d1f95b05ba2bb2e71be9|cee86ca062c513efc86eb507151fbc09|187.96|23.495|196.85|20.32|29.21|104.14|46|w|m|cm|1|0.125|1.0472972972973|0.108108108108108|0.155405405405405|0.554054054054054
4258362c2bb0d1f95b05ba2bb2e71be9|4733a44073c81970cccbca6e1ede188b|161.29|20.32|158.75|17.78|22.86|92.075|44|a|f|cm|1|0.125984251968504|0.984251968503937|0.110236220472441|0.141732283464567|0.570866141732284
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
4258362c2bb0d1f95b05ba2bb2e71be9|5052688170956343ecf8371c9921c6be|180.5|21.5|179|18.75|26.75|98.75|26|w|m|cm|1|0.119113573407202|0.991689750692521|0.10387811634349|0.14819944598338|0.547091412742382
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
5a96f81207a7a619ea2574c7e86cda93|9bca8c56351df29d833cbf3ebcb180a1|177|24|175|19|27.5|101.5|27|w|m|cm|1|0.135593220338983|0.988700564971751|0.107344632768362|0.155367231638418|0.573446327683616
5a96f81207a7a619ea2574c7e86cda93|df09e9a8368e050f75a6f2aa89c2c54c|166|20|160|18.75|27.25|100.5|51|w|f|cm|1|0.120481927710843|0.963855421686747|0.112951807228916|0.164156626506024|0.605421686746988
5a96f81207a7a619ea2574c7e86cda93|d35f30a55820eb88b89350618eb3a171|174|22|175|19|24.25|103|28|w|f|cm|1|0.126436781609195|1.00574712643678|0.109195402298851|0.139367816091954|0.591954022988506
5a96f81207a7a619ea2574c7e86cda93|0a02f10d313ea98a111c9e8323ed385e|183|23|172|19|26.75|95.5|30|w|m|cm|1|0.12568306010929|0.939890710382514|0.103825136612022|0.146174863387978|0.521857923497268
5a96f81207a7a619ea2574c7e86cda93|3409c695fd39d4511ed3dd3d9fa3436f|178|23|177|20|25.25|103.5|19|w|m|cm|1|0.129213483146067|0.99438202247191|0.112359550561798|0.14185393258427|0.581460674157303
a7380c7fdd4f9c977a007c003e42deb8|bd1d7b0809e4b4ee9ca307aa5308ea6f|157.48|20|165.1|16.5|23.5|94|41|w|f|cm|1|0.127000254000508|1.04838709677419|0.104775209550419|0.149225298450597|0.596901193802388
a7380c7fdd4f9c977a007c003e42deb8|df3939f11965e7e75dbc046cd9af1c67|174.625|23.5|180.34|19.5|26.5|103|45|w|m|cm|1|0.134574087329993|1.03272727272727|0.111667859699356|0.151753758052971|0.589835361488905
a7380c7fdd4f9c977a007c003e42deb8|dee1225ded7171820b3b974f86164a65|167|22|171|20|26|102|30|w|f|cm|1|0.131736526946108|1.02395209580838|0.119760479041916|0.155688622754491|0.610778443113772
a7380c7fdd4f9c977a007c003e42deb8|aad627aedbaec238fd7f74e3aa3385e5|170|24|175|21|27|105|33|w|m|cm|1|0.141176470588235|1.02941176470588|0.123529411764706|0.158823529411765|0.617647058823529
a7380c7fdd4f9c977a007c003e42deb8|571163a3f76efb73cd125ef35b44ea4d|154|21|155|16.6|23.35|96.15|21|a|f|cm|1|0.136363636363636|1.00649350649351|0.107792207792208|0.151623376623377|0.624350649350649
a7380c7fdd4f9c977a007c003e42deb8|3a444f015555e4667dec80fd853a5033|167.64|24|177.8|18|35.5|101|21|w|f|cm|1|0.143163922691482|1.06060606060606|0.107372942018611|0.211763302314483|0.602481507993319
00b0bc50a5d4c23ebdac6e69cebf284d|cb216e6502316d1466d79b4a18b540cf|180.5|26.5|181.5|21.5|28.5|100.5|29|w|m|cm|1|0.146814404432133|1.00554016620499|0.119113573407202|0.157894736842105|0.556786703601108
07455b8d275697db40dab95a03f3c208|be6fbe0a469c8ba8b4f2c44e0fe6304d|160|20|157|18|25.25|96.5|57|w|f|cm|1|0.125|0.98125|0.1125|0.1578125|0.603125
21130e0e97a7ce7afdd817c223e9ac64|ca9ff114ef0294d44570b2f047017c45|175|24|180|24|28|104.25|50|w|m|cm|1|0.137142857142857|1.02857142857143|0.137142857142857|0.16|0.595714285714286
